type,title,parent,labels,description
epic,"[Epic] Define product scope",,"epic|mvp","Define the HamoPMS MVP boundaries, workflows, and role model for a greenfield PHP hotel PMS inspired by HAIP."
feature,"[Feature] Define PMS MVP","[Epic] Define product scope","feature|mvp","Define the MVP boundary for HamoPMS."
task,"[Task] List in-scope MVP modules","[Feature] Define PMS MVP","task|mvp","Identify the initial modules included in MVP."
task,"[Task] List out-of-scope phase-2 modules","[Feature] Define PMS MVP","task|phase-2","Identify modules deferred after MVP."
task,"[Task] Define single-property vs multi-property scope","[Feature] Define PMS MVP","task|mvp","Decide tenant scope for the first release."
feature,"[Feature] Define business workflows","[Epic] Define product scope","feature|mvp","Document key hotel workflows."
task,"[Task] Document reservation lifecycle","[Feature] Define business workflows","task|mvp","Document reservation lifecycle states and transitions."
task,"[Task] Document guest stay lifecycle","[Feature] Define business workflows","task|mvp","Document pre-arrival, in-stay, and departure flow."
task,"[Task] Document folio and payment lifecycle","[Feature] Define business workflows","task|mvp","Document posting, settlement, and refund flow."
task,"[Task] Document housekeeping workflow","[Feature] Define business workflows","task|mvp","Document room cleaning and readiness flow."
feature,"[Feature] Define user roles","[Epic] Define product scope","feature|mvp","Define staff roles and permissions."
task,"[Task] Define admin permissions","[Feature] Define user roles","task|mvp","Define administrator permissions."
task,"[Task] Define front desk permissions","[Feature] Define user roles","task|mvp","Define front desk permissions."
task,"[Task] Define housekeeping permissions","[Feature] Define user roles","task|mvp","Define housekeeping permissions."
task,"[Task] Define finance and manager permissions","[Feature] Define user roles","task|mvp","Define finance and manager permissions."
epic,"[Epic] Establish technical foundation",,"epic|backend","Select the PHP stack, define engineering standards, and bootstrap the platform."
feature,"[Feature] Select application stack","[Epic] Establish technical foundation","feature|backend","Choose the technology stack for the platform."
task,"[Task] Choose PHP framework","[Feature] Select application stack","task|backend","Choose the PHP framework."
task,"[Task] Choose database, cache, queue, storage","[Feature] Select application stack","task|backend|database","Choose core infrastructure services."
task,"[Task] Define deployment environment","[Feature] Select application stack","task|backend","Define target deployment environment."
feature,"[Feature] Define engineering standards","[Epic] Establish technical foundation","feature|backend","Define engineering conventions and delivery standards."
task,"[Task] Define project structure","[Feature] Define engineering standards","task|backend","Define project structure."
task,"[Task] Define coding standards","[Feature] Define engineering standards","task|backend","Define coding standards."
task,"[Task] Define migration and seeding strategy","[Feature] Define engineering standards","task|backend|database","Define migration and seeding approach."
task,"[Task] Define testing strategy","[Feature] Define engineering standards","task|backend","Define testing strategy."
feature,"[Feature] Bootstrap platform","[Epic] Establish technical foundation","feature|backend","Set up the initial application and delivery baseline."
task,"[Task] Initialize PHP application","[Feature] Bootstrap platform","task|backend","Create the initial application."
task,"[Task] Configure environment settings","[Feature] Bootstrap platform","task|backend","Set up environment configuration."
task,"[Task] Set up CI baseline","[Feature] Bootstrap platform","task|backend","Add CI baseline."
epic,"[Epic] Design core domain model",,"epic|backend|database","Define the core PMS entities, relationships, statuses, and lifecycle rules."
feature,"[Feature] Property and room inventory","[Epic] Design core domain model","feature|backend|database","Define property and room inventory entities."
task,"[Task] Model properties","[Feature] Property and room inventory","task|database","Model hotel properties."
task,"[Task] Model room types","[Feature] Property and room inventory","task|database","Model room types."
task,"[Task] Model rooms","[Feature] Property and room inventory","task|database","Model physical rooms."
task,"[Task] Model room status and maintenance states","[Feature] Property and room inventory","task|database","Model operational room states."
feature,"[Feature] Guest and reservation model","[Epic] Design core domain model","feature|backend|database","Define guest and reservation entities."
task,"[Task] Model guest profiles","[Feature] Guest and reservation model","task|database","Model guest profiles."
task,"[Task] Model reservations","[Feature] Guest and reservation model","task|database","Model reservations."
task,"[Task] Model rate plans and packages","[Feature] Guest and reservation model","task|database","Model rate plans and packages."
task,"[Task] Model booking sources and statuses","[Feature] Guest and reservation model","task|database","Model sources and statuses."
feature,"[Feature] Billing model","[Epic] Design core domain model","feature|backend|database","Define billing and financial entities."
task,"[Task] Model folios","[Feature] Billing model","task|database","Model folios."
task,"[Task] Model charges and taxes","[Feature] Billing model","task|database","Model charges and taxes."
task,"[Task] Model payments and refunds","[Feature] Billing model","task|database","Model payments and refunds."
task,"[Task] Model audit history","[Feature] Billing model","task|database","Model audit history."
epic,"[Epic] Authentication and access control",,"epic|backend|security","Implement authentication, session handling, and role-based authorization."
feature,"[Feature] User authentication","[Epic] Authentication and access control","feature|backend|security","Support login and session lifecycle."
task,"[Task] Implement login","[Feature] User authentication","task|backend|security","Implement login."
task,"[Task] Implement password reset","[Feature] User authentication","task|backend|security","Implement password reset."
task,"[Task] Implement session management","[Feature] User authentication","task|backend|security","Implement session management."
feature,"[Feature] Authorization","[Epic] Authentication and access control","feature|backend|security","Support role and permission enforcement."
